iter	RMSE
0	14.60244236
1	14.25682896
2	13.88669272
3	13.53815389
4	13.18746778
5	12.8734814
6	12.5657208
7	12.30922698
8	12.04736902
9	11.75215912
10	11.47459507
11	11.239717
12	11.00305978
13	10.76265436
14	10.51807121
15	10.2725522
16	10.05760963
17	9.838182864
18	9.62761221
19	9.435361263
20	9.264006438
21	9.094203307
22	8.915090291
23	8.746695982
24	8.595416485
25	8.462423833
26	8.318477336
27	8.185782434
28	8.060366784
29	7.948009341
30	7.847908996
31	7.731792498
32	7.632523105
33	7.529753378
34	7.42151478
35	7.328984068
36	7.235331324
37	7.153477124
38	7.069388486
39	6.989785154
40	6.920595835
41	6.844404311
42	6.770424452
43	6.713970509
44	6.650346661
45	6.59536947
46	6.538962482
47	6.481390556
48	6.423594717
49	6.368635892
50	6.326632659
51	6.279849308
52	6.233695571
53	6.186858558
54	6.145493142
55	6.105575152
56	6.071170664
57	6.036363394
58	6.001227419
59	5.96189446
60	5.933413614
61	5.902909641
62	5.867770397
63	5.836958523
64	5.81006988
65	5.783379382
66	5.756183174
67	5.729871786
68	5.714159049
69	5.692299338
70	5.66930585
71	5.644430048
72	5.624943563
73	5.605459679
74	5.584572152
75	5.57430295
76	5.552996861
77	5.538262243
78	5.51935212
79	5.505941582
80	5.49408585
81	5.476267839
82	5.461468665
83	5.448853063
84	5.443211043
85	5.430704519
86	5.422951001
87	5.410569719
88	5.397828403
89	5.389108881
90	5.378295731
91	5.368913215
92	5.355948117
93	5.346729187
94	5.335860404
95	5.32673832
96	5.316663703
97	5.305938082
98	5.297907704
99	5.291054328
100	5.287429296
101	5.274748812
102	5.264134017
103	5.257191259
104	5.249014936
105	5.240073929
106	5.23241258
107	5.226354446
108	5.219473079
109	5.211473061
110	5.205458632
111	5.198202611
112	5.191674786
113	5.184248872
114	5.178072472
115	5.172180058
116	5.164953363
117	5.161001372
118	5.156256672
119	5.150627605
120	5.143757707
121	5.138770337
122	5.136187706
123	5.131450836
124	5.126100766
125	5.121109905
126	5.114284785
127	5.108479196
128	5.10415294
129	5.099204472
130	5.095106887
131	5.0907819
132	5.08774873
133	5.085506035
134	5.081646932
135	5.075012656
136	5.069200125
137	5.065125061
138	5.059121124
139	5.055169464
140	5.051495349
141	5.048057888
142	5.04406927
143	5.039256838
144	5.038278643
145	5.03342601
146	5.028751946
147	5.027682824
148	5.022055444
149	5.018473349
150	5.015413635
151	5.011329122
152	5.007025819
153	5.002510506
154	4.998722922
155	4.99477578
156	4.992339696
157	4.98543411
158	4.978292103
159	4.974666549
160	4.970460935
161	4.966592957
162	4.964832799
163	4.961570956
164	4.958123457
165	4.95543172
166	4.952449731
167	4.948546077
168	4.945757176
169	4.939589291
170	4.935929385
171	4.932213076
172	4.927505714
173	4.923650464
174	4.918090796
175	4.913634888
176	4.911841819
177	4.909808405
178	4.907633817
179	4.903157343
180	4.898854562
